"energy","zcr","peak","dominant_frequency","spectral_centroid","spectral_bandwidth","label"
14661059,0.397705,423,118,870.594971,588.292053,"snap"
14353595,0.396729,490,32,856.894165,587.57489,"snap"
40161260,0.375732,709,245,827.982788,553.893738,"snap"
35534604,0.368652,1091,118,817.775757,550.256104,"snap"
72353968,0.345459,820,244,788.543335,514.656555,"snap"
39262924,0.373779,778,118,796.933167,564.650269,"snap"
35112396,0.36499,673,110,787.083679,564.009521,"snap"
17224280,0.397949,955,947,879.133728,573.020935,"snap"
16551460,0.422119,933,947,914.699097,565.819031,"snap"
19276716,0.38623,1146,948,890.313416,577.037598,"snap"
23467132,0.378906,946,947,857.405518,563.219055,"snap"
20553140,0.411133,1029,947,872.378784,570.847229,"snap"
53435436,0.373047,1254,947,807.676208,550.514771,"snap"
47257408,0.36377,889,947,843.555786,583.079712,"snap"
67566448,0.365479,879,591,806.66925,526.266602,"snap"
62167492,0.356201,1045,354,780.099365,567.170532,"snap"
75336192,0.369385,773,947,757.707764,518.027832,"snap"
64535372,0.283447,994,52,766.754578,529.947693,"snap"
75264272,0.266113,854,26,737.165039,538.906982,"snap"
62140876,0.306152,961,57,765.536377,525.068604,"snap"
77512928,0.27832,902,32,731.770752,562.12854,"snap"
64828624,0.282227,845,27,739.439148,554.418457,"snap"
39449680,0.264404,1033,51,772.432251,606.657654,"snap"
34697624,0.247559,648,54,750.57782,591.789307,"snap"
44543500,0.270752,791,51,765.431152,573.299316,"snap"
41229052,0.265381,909,51,723.56311,562.052307,"snap"
37357380,0.241455,861,53,740.799927,582.915833,"snap"
31212692,0.286865,721,592,789.076904,569.324951,"snap"
29194860,0.279297,851,592,751.591797,550.693359,"snap"
27806616,0.286133,716,273,791.141724,572.984558,"snap"
35016032,0.298584,777,25,767.13269,552.81665,"snap"
42690568,0.310791,1133,262,750.857666,547.654419,"snap"
83429584,0.304688,816,98,727.652649,528.270081,"snap"
101263456,0.300293,1014,500,718.523499,504.91153,"snap"
134581584,0.273926,879,481,713.682068,483.0354,"snap"
73988896,0.313965,1071,263,754.881165,535.882996,"snap"
44470264,0.314209,752,274,790.10199,541.556458,"snap"
85579184,0.233887,1264,442,704.583374,570.710754,"snap"
108919720,0.218994,989,441,674.667786,569.938721,"snap"
99073488,0.223145,1067,442,698.989502,561.009033,"snap"
92651296,0.233398,911,441,674.233521,543.084473,"snap"
78397568,0.227295,613,441,695.549011,573.319092,"snap"
62580620,0.217285,577,442,671.44519,587.450073,"snap"
66363776,0.216064,607,442,656.224976,571.666199,"snap"
58126536,0.213135,446,441,656.458557,588.003235,"snap"
66453404,0.203125,687,442,668.354187,575.627441,"snap"
69218968,0.196533,634,442,635.931824,569.986023,"snap"
167967360,0.217041,754,441,643.868652,555.27594,"snap"
159669856,0.213867,674,441,624.321106,544.800842,"snap"
166413616,0.214355,708,441,627.19635,554.993103,"snap"
154104032,0.220703,753,441,652.277771,560.786316,"snap"
155372672,0.219482,908,441,663.110107,552.091736,"snap"
196169392,0.235107,1026,441,654.534607,513.459045,"snap"
190226224,0.23999,991,441,681.860657,526.238953,"snap"
169260592,0.230957,791,441,682.602539,554.233459,"snap"
190556304,0.221191,748,441,691.435852,564.46405,"snap"
181507344,0.244629,781,441,700.165405,536.992859,"snap"
51958280,0.417725,1088,396,907.13446,585.726868,"door"
61086376,0.435059,1174,1042,931.097717,567.77948,"door"
69155736,0.450439,863,846,952.883545,564.756653,"door"
78238816,0.458496,1087,1082,986.911011,564.579529,"door"
63060352,0.432373,951,83,925.655518,570.989319,"door"
36241204,0.432617,908,35,885.616333,582.690979,"door"
27725968,0.466064,850,33,978.068665,582.855957,"door"
17110836,0.432129,799,38,901.678833,593.041565,"door"
22998900,0.4646,641,37,969.293274,598.919922,"door"
30507864,0.447998,981,130,945.348083,594.395447,"door"
57804460,0.459961,1065,1090,989.666626,540.310852,"door"
59442752,0.44873,943,708,907.143921,563.624268,"door"
74162672,0.453613,920,929,966.105225,581.390991,"door"
63522564,0.470459,997,854,1019.352905,558.81604,"door"
67736608,0.441406,833,1149,942.313721,571.544495,"door"
42610768,0.450684,1012,1087,990.167175,539.93689,"door"
22527744,0.446777,730,45,915.050171,587.286072,"door"
23828260,0.450195,746,34,961.620361,584.585999,"door"
24913128,0.44165,1050,33,985.115051,584.545105,"door"
19048012,0.454102,705,34,965.43042,588.246582,"door"
24831816,0.356689,705,27,902.516541,610.078186,"door"
30709132,0.352783,661,33,855.729431,602.218079,"door"
22852800,0.366455,454,31,897.550476,622.230286,"door"
24913368,0.407471,876,22,951.823364,594.376892,"door"
27664700,0.436768,1042,34,956.755127,566.361633,"door"
55424304,0.432373,995,819,976.943787,564.525269,"door"
57853000,0.46167,1094,33,976.625488,586.679565,"door"
56730100,0.441895,920,34,933.624695,581.649048,"door"
62984772,0.468262,890,1032,1001.250122,573.205994,"door"
66928808,0.462158,1002,620,984.817932,594.939087,"door"
61697192,0.399414,1024,38,916.248413,594.128784,"door"
83564240,0.452393,915,125,945.790222,567.71875,"door"
53524016,0.429932,929,34,916.156677,578.30957,"door"
83413264,0.444336,970,180,925.843628,587.31311,"door"
53876312,0.417969,1071,1092,919.930054,563.979248,"door"
35706196,0.467285,1516,415,978.464905,592.926331,"door"
25905752,0.456787,951,19,903.095947,590.397522,"door"
42933460,0.436035,1035,100,919.741516,594.314941,"door"
18720992,0.456055,935,41,907.045776,597.072632,"door"
44260728,0.42041,974,177,908.973267,569.529968,"door"
70773296,0.40332,1083,870,878.862,565.934631,"door"
64024996,0.4021,1122,121,938.611023,577.552917,"door"
69636672,0.398682,988,111,903.723816,598.525269,"door"
75872328,0.415771,997,110,917.885254,567.126587,"door"
63971560,0.41333,962,110,922.397278,591.70697,"door"
34773644,0.420654,866,70,956.621704,580.788513,"door"
42019688,0.397949,897,114,883.404846,584.892761,"door"
44151404,0.408203,836,110,902.018127,582.54126,"door"
58699764,0.36499,1057,71,845.917358,582.595154,"door"
36166656,0.4021,770,110,884.89563,597.065552,"door"
42979620,0.443604,1087,1999,1024.9823,568.638428,"door"
16363654,0.427246,1048,110,916.463074,574.518738,"door"
17074248,0.421143,744,49,945.853394,574.091553,"door"
16775760,0.415283,632,958,906.071045,586.984863,"door"
30106760,0.410645,891,65,943.737488,575.273315,"door"
48082804,0.434082,725,850,953.326355,557.648499,"door"
55244312,0.440918,867,1030,934.125977,546.742615,"door"
79008392,0.483154,985,1090,965.625977,576.973267,"door"
51476260,0.438721,757,979,957.818054,576.739929,"door"
69704064,0.495361,968,674,977.64917,583.784973,"door"
59483048,0.431641,1018,33,974.021851,594.073547,"door"
56767876,0.430664,958,226,956.780762,598.008972,"door"
81448896,0.422607,942,674,945.015442,556.862305,"door"
49146016,0.405518,922,118,908.333191,567.217163,"door"
57794576,0.421143,990,446,938.841614,582.761597,"door"
29500548,0.237549,577,117,928.824707,611.049927,"door"
40026848,0.24707,868,116,907.122498,590.407227,"door"
63418648,0.274414,1004,117,887.33252,559.581604,"door"
27732332,0.33667,683,107,797.959717,585.715759,"door"
18522580,0.413086,471,33,905.874268,591.376465,"door"
56694068,0.421387,1106,946,954.869141,573.084045,"door"
72775808,0.414062,949,946,896.728027,576.017578,"door"
66699872,0.453613,1168,674,1009.542603,563.290588,"door"
81268520,0.4729,1155,946,986.385681,568.613892,"door"
70597488,0.419434,1033,33,944.932129,574.116272,"door"
35453436,0.423096,851,710,988.414978,558.03186,"door"
27741292,0.421875,1115,947,954.281738,576.959595,"door"
43978168,0.402832,961,947,968.711426,559.69458,"door"
31904244,0.42627,667,34,951.826172,585.061707,"door"
29095056,0.431641,635,947,954.818604,580.214233,"door"
103358160,0.335449,1200,56,873.764893,574.800354,"door"
79285552,0.365723,892,56,891.983459,584.694763,"door"
77342104,0.389893,974,52,921.611084,603.574707,"door"
88996832,0.344482,999,55,899.500854,603.415344,"door"
108731000,0.366211,1200,52,872.079651,569.2677,"door"
58399144,0.29541,692,50,836.389709,586.278442,"door"
63840796,0.30835,875,32,875.379517,593.236328,"door"
77227232,0.308838,969,54,876.918823,591.443481,"door"
58955968,0.32959,998,52,917.746033,582.230042,"door"
50661936,0.310547,617,25,834.359009,597.376465,"door"
38706240,0.331787,538,441,867.162231,579.372192,"door"
60677056,0.351562,967,441,885.228699,547.838928,"door"
51489852,0.373291,1011,168,1004.146667,577.345215,"door"
41674684,0.33374,647,261,866.937317,580.523987,"door"
45584056,0.334473,736,25,864.324036,587.483704,"door"
99015872,0.38916,943,25,911.719788,570.708435,"door"
108437376,0.380859,993,55,844.093628,585.356323,"door"
106910648,0.42627,1009,26,922.854431,556.753845,"door"
87492016,0.377686,974,441,919.943604,589.819214,"door"
47744808,0.397461,1017,26,1009.240051,584.894958,"door"
105722952,0.299316,1067,441,852.967712,611.579224,"door"
116813552,0.302002,846,441,862.59259,618.686462,"door"
116804480,0.320312,995,442,906.066528,613.660522,"door"
115964584,0.309326,892,442,848.206116,600.001099,"door"
108066880,0.28833,899,441,831.501282,600.681396,"door"
75154112,0.226074,630,441,729.37616,593.304993,"door"
69028784,0.23584,1514,441,766.225769,598.382935,"door"
75212760,0.253662,793,441,772.821167,613.9823,"door"
86506752,0.256348,764,441,837.776611,629.242981,"door"
73874808,0.232422,625,441,737.198181,601.606934,"door"
172595648,0.232422,751,441,750.319092,604.901306,"door"
182661728,0.238037,976,441,732.598877,575.190308,"door"
169446528,0.236816,724,441,721.353027,579.568848,"door"
177106560,0.227051,1036,441,732.295776,568.07019,"door"
187876000,0.233887,1009,441,759.139893,586.890808,"door"
181200832,0.268066,976,441,804.439148,570.095764,"door"
146938480,0.293701,1018,441,826.176392,583.121704,"door"
119208824,0.272949,910,441,828.183899,567.189209,"door"
211827520,0.264893,1014,441,801.204712,586.321472,"door"
166030752,0.284424,809,441,848.215332,599.546875,"door"
218998752,0.506348,934,1750,1091.602173,600.303528,"whistle"
82384856,0.514404,919,1828,1140.09375,601.350464,"whistle"
31766096,0.542725,691,1918,1079.988281,647.52655,"whistle"
79418432,0.533447,949,1738,1159.287476,628.106384,"whistle"
148837776,0.502686,948,1924,1163.48645,611.796997,"whistle"
260768736,0.416992,1072,498,899.150818,604.302795,"whistle"
219602320,0.481689,971,1752,1068.014893,600.418884,"whistle"
195712784,0.453857,974,1762,1037.050903,610.61792,"whistle"
181560496,0.500244,1026,1930,1120.964233,606.404785,"whistle"
213672944,0.457764,985,1939,1050.163452,601.792725,"whistle"
115642384,0.48291,780,1922,1100.26355,618.036682,"whistle"
87980504,0.495117,713,1915,1114.43457,627.258362,"whistle"
65114968,0.506836,627,1717,1130.02124,614.224121,"whistle"
42299336,0.50415,497,52,1114.122437,638.381104,"whistle"
115792080,0.510742,909,1912,1198.261597,625.476257,"whistle"
239746016,0.449219,967,527,1047.482178,584.499695,"whistle"
214173456,0.452393,962,524,1017.028687,598.377319,"whistle"
177397232,0.463135,947,529,999.631531,590.169922,"whistle"
223248080,0.4375,1040,525,1047.852539,585.413574,"whistle"
253160816,0.499268,990,1741,1209.930176,594.023376,"whistle"
259634064,0.583984,1001,1742,1325.974609,516.927734,"whistle"
47661688,0.500244,888,1919,1095.605835,574.592285,"whistle"
37796416,0.522705,740,1743,1129.704712,588.294006,"whistle"
47527456,0.51709,761,1741,1150.225586,592.961121,"whistle"
34623372,0.530273,575,1805,1138.373657,599.552917,"whistle"
316388768,0.57251,1002,1745,1286.13916,558.483398,"whistle"
226331024,0.529541,983,1745,1134.403687,580.639893,"whistle"
187321760,0.530029,994,1729,1139.349487,598.652466,"whistle"
188058464,0.517822,1049,1748,1147.12146,565.641663,"whistle"
189271040,0.545654,966,1746,1223.247192,559.617188,"whistle"
217414512,0.433594,983,530,993.772949,622.640625,"whistle"
164016016,0.488525,991,1740,1135.541992,611.346313,"whistle"
208442704,0.513916,1056,1734,1172.669312,590.215759,"whistle"
177110768,0.493652,980,1916,1072.762207,584.765076,"whistle"
201146672,0.496338,1185,1724,1134.40918,595.272034,"whistle"
93659360,0.531006,827,1916,1189.327637,626.152527,"whistle"
171418176,0.503174,960,1741,1143.475464,597.053528,"whistle"
126901968,0.545654,1261,1742,1230.656616,607.590515,"whistle"
37332512,0.521484,929,1740,1117.959473,645.500977,"whistle"
141664560,0.538574,1035,1742,1219.156372,618.073547,"whistle"
244834080,0.522949,1041,1719,1204.119995,575.990234,"whistle"
141339888,0.474854,991,1737,1094.398071,598.212219,"whistle"
167506896,0.475342,989,1738,1068.4646,605.010132,"whistle"
141444272,0.539795,993,1737,1226.505371,604.491943,"whistle"
287125312,0.445068,1018,526,1085.997559,589.75116,"whistle"
275891296,0.44751,1074,1725,1103.378174,596.825073,"whistle"
22742960,0.473389,617,111,1054.821167,623.322693,"whistle"
24536456,0.465332,536,1814,1045.019531,624.187439,"whistle"
47535692,0.484375,801,1912,1108.432983,629.756653,"whistle"
34234196,0.476318,762,1777,1039.608154,627.567444,"whistle"
80690240,0.461426,966,110,1074.210815,604.315613,"whistle"
129277800,0.431396,983,111,1019.724731,596.722778,"whistle"
162153968,0.442871,949,1808,1072.952515,654.428162,"whistle"
155782496,0.509033,882,1745,1166.19397,634.881714,"whistle"
53029680,0.457031,899,111,983.392273,601.714539,"whistle"
242511536,0.477783,989,1746,1091.832153,594.867798,"whistle"
243006416,0.492188,1114,1747,1138.843018,597.526855,"whistle"
324980640,0.485107,999,1749,1247.55542,584.722107,"whistle"
248868336,0.490967,969,1758,1150.322388,626.826233,"whistle"
223527088,0.449707,951,544,978.556885,613.349365,"whistle"
56394260,0.362061,573,150,1059.993408,633.490356,"whistle"
68911176,0.4375,828,146,1126.133057,633.964905,"whistle"
169206528,0.481445,980,1924,1153.296387,593.183411,"whistle"
29254040,0.453857,457,147,1026.741089,621.901611,"whistle"
42992384,0.427734,480,146,1030.782593,624.022522,"whistle"
187018064,0.428467,1004,531,980.10144,619.914185,"whistle"
178877328,0.467041,988,1741,1104.884888,606.711731,"whistle"
206744304,0.475586,1004,1930,1059.888428,605.509216,"whistle"
154234112,0.47998,1000,1753,1103.662109,603.997742,"whistle"
180158496,0.49292,1015,1791,1112.530029,624.276978,"whistle"
90113616,0.469482,913,946,1154.405762,579.869812,"whistle"
110205544,0.523926,843,1750,1187.430054,605.410095,"whistle"
121666160,0.531006,989,1793,1221.054321,547.899109,"whistle"
109051264,0.447021,821,536,1024.449951,614.42981,"whistle"
103862744,0.531738,976,1932,1260.851562,584.872009,"whistle"
188977760,0.528076,980,1934,1212.860229,595.693848,"whistle"
185207328,0.511475,968,1801,1151.615234,570.243835,"whistle"
228703536,0.507324,968,1755,1134.100342,552.775391,"whistle"
246445104,0.504883,1161,1937,1159.139648,608.156921,"whistle"
217614080,0.523438,1062,1744,1155.937256,583.660767,"whistle"
84679104,0.371338,649,441,1019.600891,656.947815,"whistle"
183291680,0.455078,976,56,1150.240601,621.195496,"whistle"
256747808,0.435303,1041,52,1167.466431,642.27417,"whistle"
214996608,0.426025,1072,53,1138.487549,635.404236,"whistle"
86820576,0.392578,738,53,1056.543335,634.965271,"whistle"
203636160,0.400391,1188,54,1057.130249,596.605103,"whistle"
310236832,0.467773,987,1744,1226.028687,606.843506,"whistle"
256904480,0.368652,981,519,1035.873657,616.735229,"whistle"
233116880,0.392334,971,55,1059.672119,588.808228,"whistle"
185563328,0.367188,1121,56,1020.797119,605.959717,"whistle"
363777184,0.480469,1009,1745,1286.814087,562.324768,"whistle"
191089584,0.458984,945,1742,1118.377075,608.762512,"whistle"
307848288,0.462646,994,1745,1177.153442,587.072937,"whistle"
212559808,0.45459,961,1743,1129.546631,599.923889,"whistle"
203350608,0.44751,939,1743,1123.04187,593.828491,"whistle"
100857576,0.41748,896,271,1081.790771,600.598999,"whistle"
109040200,0.446777,893,1744,1156.545044,607.736816,"whistle"
190771760,0.383545,899,1746,1061.113403,556.616577,"whistle"
294497536,0.491699,999,1744,1276.125,559.269226,"whistle"
96631624,0.408691,758,1740,1037.106934,607.028381,"whistle"
78793384,0.270752,633,442,818.200928,643.494324,"whistle"
83917024,0.294922,815,442,892.934265,655.674377,"whistle"
112005968,0.342041,802,442,1047.155273,672.656616,"whistle"
126191936,0.349121,900,442,1024.471924,680.004456,"whistle"
72435576,0.287354,722,442,886.742126,671.871155,"whistle"
208025248,0.384277,1078,441,1081.484009,632.643555,"whistle"
217453536,0.35791,965,442,1011.69812,631.054504,"whistle"
200652976,0.386719,936,442,1045.275635,620.342957,"whistle"
225178144,0.392822,974,442,1060.541626,619.871643,"whistle"
228814864,0.351074,946,441,1036.010742,659.323425,"whistle"
258603072,0.41626,973,441,1117.012085,642.56366,"whistle"
286816448,0.370361,984,441,989.14917,614.900818,"whistle"
253037344,0.324707,1116,441,913.767761,632.878418,"whistle"
283123808,0.366211,1189,441,1007.152344,620.55957,"whistle"
273054048,0.378662,1102,441,978.81543,622.056213,"whistle"
263307536,0.322998,1055,441,977.238281,661.182495,"whistle"
229669760,0.297607,918,441,946.150269,648.512207,"whistle"
189185216,0.247314,862,441,803.514099,643.708862,"whistle"
230910096,0.327881,937,441,988.783386,642.501648,"whistle"
218816736,0.327637,891,441,1012.381226,656.081421,"whistle"
